Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Interest on cash,2023-09-13 21:09:08,,,,Interest on cash,fffd819b-03b5-4e1c-9158-d86cca59fc4e,,,,,,,0.04,EUR,,,,,,
Dividend (Dividends paid by us corporations),2023-09-14 11:45:13,US0326541051,ADI,Analog Devices,,,1.0000000000,0.731000,USD,0.93023300,,,0.68,EUR,0.13,USD,,,,
Dividend (Dividends paid by us corporations),2023-09-14 11:49:05,US5949181045,MSFT,Microsoft,,,0.3682671000,0.578000,USD,0.93959200,,,0.20,EUR,0.04,USD,,,,
Market buy,2023-09-14 14:25:01,US92826C8394,V,Visa,,EOF3341568267,0.1772279000,240.3300000000,USD,1.06642917,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-14 14:26:39,US98978V1035,ZTS,Zoetis,,EOF3341568660,0.2349572000,181.2500000000,USD,1.06624918,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-14 15:01:57,US8826811098,TXRH,Texas Roadhouse,,EOF3341576877,0.3157797000,101.1800000000,USD,1.06679766,,,29.99,EUR,,,0.04,EUR,,
Market buy,2023-09-14 15:02:53,US1696561059,CMG,Chipotle Mexican Grill,,EOF3341577007,0.0220293100,1934.0000000000,USD,1.06671721,,,40.00,EUR,,,0.06,EUR,,
Interest on cash,2023-09-14 21:09:20,,,,Interest on cash,588c6deb-9bf7-4099-8cb4-e516992391bf,,,,,,,0.03,EUR,,,,,,
Dividend (Dividends paid by us corporations),2023-09-15 13:13:00,US5184391044,EL,Estee Lauder,,,3.0230634000,0.561000,USD,0.93753400,,,1.59,EUR,0.30,USD,,,,
Market buy,2023-09-15 13:33:51,US0378331005,AAPL,Apple,,EOF3343280854,0.2431902000,175.1600000000,USD,1.06652968,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-15 13:35:26,US92826C8394,V,Visa,,EOF3343285417,0.1758672000,242.2100000000,USD,1.06651964,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-15 13:35:59,US98978V1035,ZTS,Zoetis,,EOF3343291441,0.2352894000,181.0400000000,USD,1.06651960,,,40.00,EUR,,,0.06,EUR,,
Interest on cash,2023-09-15 21:09:15,,,,Interest on cash,7ec4a265-8ad2-40d0-ab67-a2cb8e408242,,,,,,,0.03,EUR,,,,,,
Interest on cash,2023-09-16 21:09:05,,,,Interest on cash,211e8457-220e-4394-b3d6-dc1b72d08adc,,,,,,,0.03,EUR,,,,,,
Interest on cash,2023-09-17 21:09:03,,,,Interest on cash,ed7e3570-d62f-4717-9a00-a75803e01521,,,,,,,0.02,EUR,,,,,,
Market buy,2023-09-18 15:55:44,US8826811098,TXRH,Texas Roadhouse,,EOF3601183586,0.4245855000,100.6200000000,USD,1.06964929,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-18 15:56:40,US5184391044,EL,Estee Lauder,,EOF3601183659,0.2761590000,154.7000000000,USD,1.06964940,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-18 18:08:19,US1696561059,CMG,Chipotle Mexican Grill,,EOF3601197707,0.0219632000,1943.1500000000,USD,1.06854762,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-18 18:08:40,US5949181045,MSFT,Microsoft,,EOF3601197746,0.1299211000,328.4900000000,USD,1.06854737,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-18 18:09:03,US9078181081,UNP,Union Pacific,,EOF3601197778,0.2000928000,213.2900000000,USD,1.06854765,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-18 18:09:09,US9256521090,VICI,VICI Properties,,EOF3601197785,1.3845870000,30.8200000000,USD,1.06842692,,,40.00,EUR,,,0.06,EUR,,
Interest on cash,2023-09-18 21:08:33,,,,Interest on cash,abd48653-a6a4-49a3-9e16-4914876645f4,,,,,,,0.02,EUR,,,,,,
Deposit,2023-09-19 07:30:07,,,,Bank Transfer,f5d8b28e-0939-4283-b985-efb79dad375c,,,,,,,800.00,EUR,,,,,,
Limit buy,2023-09-19 14:03:36,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3650762195,0.0800000000,731.9000000000,EUR,1.00000000,,,58.73,EUR,,,,,0.18,EUR
